timestamp,src_ip,dst_port,decision
2025-07-01 14:23:33.491447,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:33.510651,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:33.524173,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.937902,192.168.181.201,443,ALLOWED
2025-07-01 14:23:34.079683,52.187.79.109,54776,BLOCKED
2025-07-01 14:23:35.042978,192.168.181.201,443,ALLOWED
2025-07-01 14:23:35.066199,192.168.181.201,443,ALLOWED
2025-07-01 14:23:35.080468,192.168.181.201,443,ALLOWED
2025-07-01 14:23:35.098005,192.168.181.201,443,ALLOWED
2025-07-01 14:23:35.112271,192.168.181.201,443,ALLOWED
2025-07-01 14:23:35.174403,192.168.181.201,443,ALLOWED
2025-07-01 14:23:35.207024,192.168.181.201,443,ALLOWED
2025-07-01 14:23:35.224017,192.168.181.201,443,ALLOWED
2025-07-01 14:23:35.241079,192.168.181.201,443,ALLOWED
2025-07-01 14:23:35.266994,192.168.181.201,443,ALLOWED
2025-07-01 14:23:35.285264,192.168.181.201,443,ALLOWED
2025-07-01 14:23:35.307405,192.168.181.201,443,ALLOWED
2025-07-01 14:23:35.324343,192.168.181.201,443,ALLOWED
2025-07-01 14:23:35.477722,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:35.502377,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:35.507259,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:35.532702,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:35.550412,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:35.563629,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:35.586394,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:35.603475,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:35.618336,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:35.635461,192.168.181.201,443,ALLOWED
2025-07-01 14:23:36.174881,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:36.241221,192.168.181.201,443,ALLOWED
2025-07-01 14:23:36.490395,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:36.515999,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.207825,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.246025,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.262795,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.275430,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.294601,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.314777,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.331020,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.347434,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.373545,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.392364,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.407125,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.428783,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.441667,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.458749,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.476383,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.493850,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.510566,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.530508,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.548339,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.564838,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.581260,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.598586,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.614251,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.630474,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.648098,192.168.181.201,443,ALLOWED
2025-07-01 14:23:37.663260,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.679515,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.679515,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.708585,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.709066,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.735710,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.741950,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.766741,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.782901,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.812528,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.827181,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.844437,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.859049,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.875460,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.892246,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:37.900114,192.168.181.201,443,ALLOWED
2025-07-01 14:23:38.412145,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:39.344912,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.366991,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.387996,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.424758,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.450910,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.477742,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.497581,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.510902,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.531159,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.545410,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.561950,192.168.181.201,443,ALLOWED
